City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
13,Kavieng,PG,83.66,broken clouds,-2.5744,150.7967,Nusa Island Retreat
15,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
17,Poya,NC,81.23,broken clouds,-21.35,165.15,
20,Bonfim,BR,82.76,overcast clouds,3.0833,-59.95,
23,San Patricio,US,85.53,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
25,Kulhudhuffushi,MV,82.22,scattered clouds,6.6221,73.07,Haajy Guest House 1
41,Saint George,US,84.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
42,Thinadhoo,MV,81.61,few clouds,0.5333,72.9333,
46,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
54,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
62,Puerto Ayora,EC,84.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
71,Butaritari,KI,81.03,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
75,Hilo,US,80.33,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
76,Sechura,PE,80.13,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
86,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
95,Tautira,PF,81.36,light rain,-17.7333,-149.15,Pension Oaoa
96,Araouane,ML,84.2,scattered clouds,18.9048,-3.5265,
110,Port Blair,IN,80.53,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
113,Touros,BR,80.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
119,Phulji,PK,83.95,clear sky,26.8825,67.6807,Irfan hotel Phulji
140,Cabo San Lucas,MX,87.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
142,Trat,TH,82.9,overcast clouds,12.5,102.5,สวนหนิง-อัศ
144,Ixtapa,MX,85.03,scattered clouds,20.7,-105.2,hotel la terminal
173,Samarai,PG,83.16,overcast clouds,-10.6167,150.6667,Nuli Sapi
178,Mumford,GH,81.28,broken clouds,5.2618,-0.759,Spanish Villa
184,Dzilam Gonzalez,MX,80.08,clear sky,21.2833,-88.9333,posadas
202,Lorengau,PG,82.81,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
209,Roebourne,AU,81.01,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
210,Bentiu,SS,81.3,scattered clouds,9.2333,29.8333,Mandela hôtel
211,Luganville,VU,83.62,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
222,Auki,SB,81.79,overcast clouds,-8.7676,160.7034,Auki Motel
227,Bongor,TD,82.29,few clouds,10.2806,15.3722,Oryx Palace
247,Faanui,PF,82.02,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
255,Lamu,KE,82.62,scattered clouds,-2.2717,40.902,Lamu House
268,Tessalit,ML,82.44,scattered clouds,20.1986,1.0114,
285,Bakel,SN,89.49,broken clouds,14.905,-12.4568,Ablaye Diallo Bakel
290,Kanniyakumari,IN,80.13,clear sky,8.0833,77.5667,Sparsa Kanyakumari
294,Manokwari,ID,80.24,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
295,Vanimo,PG,83.1,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
305,Mogadishu,SO,80.55,overcast clouds,2.0371,45.3438,Hotel Juba
319,Aden,YE,80.13,clear sky,12.7794,45.0367,Sama Emirate Hotel
328,Kieta,PG,83.55,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
337,Chowchilla,US,83.98,overcast clouds,37.123,-120.2602,Days Inn by Wyndham Chowchilla Gateway to Yosemite
349,Hays,US,86.27,scattered clouds,30.0502,-98.0336,Sinya on Lone Man Creek
350,Papetoai,PF,83.79,light rain,-17.4961,-149.8729,Fare Vaihere
354,Sao Cristovao,BR,82.31,broken clouds,-11.0147,-37.2064,Vó Nazinha Hostel
355,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
365,Hithadhoo,MV,81.63,clear sky,-0.6,73.0833,Scoop Guest House
