City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
0,Stromness,58.965,-3.296,46.36,84,39,1.01,scattered clouds,GB,2022-03-27 22:51:59
1,Pimentel,-6.8367,-79.9342,77.29,57,0,16.11,clear sky,PE,2022-03-27 22:51:59
2,Zhigansk,66.7697,123.3711,3.63,98,98,2.66,overcast clouds,RU,2022-03-27 22:52:00
3,Rikitea,-23.1203,-134.9692,79.14,66,14,9.44,few clouds,PF,2022-03-27 22:47:17
4,Mataura,-46.1927,168.8643,66.81,56,3,2.62,clear sky,NZ,2022-03-27 22:50:33
5,Obo,5.3998,26.4869,72.43,19,94,4.79,overcast clouds,CF,2022-03-27 22:52:00
6,Port Alfred,-33.5906,26.891,65.17,91,99,1.99,overcast clouds,ZA,2022-03-27 22:52:01
7,Jamestown,42.097,-79.2353,20.71,61,100,18.41,overcast clouds,US,2022-03-27 22:52:01
8,Hermanus,-34.4187,19.2345,66.79,67,98,3.15,overcast clouds,ZA,2022-03-27 22:52:01
9,Atuona,-9.8,-139.0333,78.91,79,60,12.66,broken clouds,PF,2022-03-27 22:52:02
10,Victoria,22.2855,114.1577,63.32,94,100,5.01,light rain,HK,2022-03-27 22:52:02
11,Cayenne,4.9333,-52.3333,81.09,1,75,5.99,broken clouds,GF,2022-03-27 22:52:03
12,Ancud,-41.8697,-73.8203,54.23,80,47,14.25,scattered clouds,CL,2022-03-27 22:47:29
13,Kavieng,-2.5744,150.7967,83.66,71,82,8.63,broken clouds,PG,2022-03-27 22:52:03
14,Ushuaia,-54.8,-68.3,47.86,57,20,4.61,few clouds,AR,2022-03-27 22:47:53
15,Vaini,-21.2,-175.2,84.36,84,40,5.75,scattered clouds,TO,2022-03-27 22:52:03
16,Kosh-Agach,50.0,88.6667,4.05,95,86,4.05,overcast clouds,RU,2022-03-27 22:52:04
17,Poya,-21.35,165.15,81.23,67,61,4.12,broken clouds,NC,2022-03-27 22:52:04
18,Gat,31.61,34.7642,53.4,87,1,3.51,clear sky,IL,2022-03-27 22:52:04
19,Barrow,71.2906,-156.7887,1.42,71,40,20.71,scattered clouds,US,2022-03-27 22:52:05
20,Bonfim,3.0833,-59.95,82.76,64,96,7.87,overcast clouds,BR,2022-03-27 22:51:14
21,Airai,-8.9266,125.4092,63.46,83,85,1.03,overcast clouds,TL,2022-03-27 22:52:05
22,Faya,18.3851,42.4509,59.11,37,0,3.2,clear sky,SA,2022-03-27 22:52:06
23,San Patricio,28.017,-97.5169,85.53,44,99,17.58,overcast clouds,US,2022-03-27 22:52:06
24,Tarancon,40.0085,-3.0073,47.21,73,93,12.59,overcast clouds,ES,2022-03-27 22:52:07
25,Kulhudhuffushi,6.6221,73.07,82.22,72,34,5.97,scattered clouds,MV,2022-03-27 22:52:07
26,Kaitangata,-46.2817,169.8464,62.98,67,4,3.04,clear sky,NZ,2022-03-27 22:52:07
27,Salalah,17.0151,54.0924,78.96,35,4,7.2,clear sky,OM,2022-03-27 22:52:08
28,Slobodskoy,58.7322,50.1772,18.21,91,100,10.4,light snow,RU,2022-03-27 22:52:08
